Company Name,Website,Phone,Address,Rating
The View Hospital,https://theviewhospital.com/,+974 4144 2999,"Al Qutaifiya, Doha Qatar the pearl, Qatar",4.1
Aster Hospital,http://www.aster.qa/,+974 4444 0499,"7H54+C7G, Al Salah St, Doha, Qatar",4.7
Hamad General Hospital,https://www.hamad.qa/EN/Pages/default.aspx,+974 4439 5777,"Doha, Qatar",3.7
Dr. Kutty’s Medical Centre,http://www.drkuttysmedicalcentre.com/,+974 3991 3300,"Building #128, 2nd Floor, Street # 340, Midmac Roundabout, Near Salwa Rd, Doha, Qatar",4.4
Al-Khor Hospital,http://www.hamad.qa/,+974 4474 5555,"Al Thakhira, Qatar",3.9
University of Maryland Shore Medical Center at Easton,https://www.umms.org/shore/locations/medical-center-easton,(410) 822-1000,"219 S Washington St, Easton, MD 21601",2.4
University of Maryland Shore Medical Center at Cambridge,https://www.umms.org/shore/locations/medical-center-cambridge,(443) 225-7500,"715 Cambridge Marketplace Blvd, Cambridge, MD 21613",2.2
University of Maryland Shore Medical Center at Cambridge Emergency Room,https://www.umms.org/shore/locations/medical-center-dorchester,(443) 225-7500,"715 Cambridge Marketplace Blvd, Cambridge, MD 21613",2.4
Emergency Center | UM Shore Medical Center at Easton,https://www.umms.org/shore/locations/emergency-center-easton,(410) 822-1000,"219 S Washington St, Easton, MD 21601",2
UM Shore Emergency Center at Queenstown,https://www.umms.org/shore/locations/emergency-center-queenstown,(410) 827-3900,"125 Shoreway Dr, Queenstown, MD 21658",2.4
University of Maryland Shore Medical Center at Chestertown,https://www.umms.org/shore/locations/medical-center-chestertown,(410) 778-3300,"100 Brown St, Chestertown, MD 21620",2.9
University of Maryland Shore Regional Health at Cambridge,https://www.umms.org/shore/locations/medical-center-cambridge,(443) 225-7500,"715 Cambridge Marketplace Blvd, Cambridge, MD 21613",1
University of Maryland SHORE REGIONAL HEALTH,https://www.umms.org/shore,(443) 225-7474,"10A Martin Ct, Easton, MD 21601",3
CalvertHealth Medical Center,http://www.calverthealthmedicine.org/,(410) 535-4000,"100 Hospital Rd, Prince Frederick, MD 20678",2.6
Luminis Health Anne Arundel Medical Center,https://www.luminishealth.org/locations/lhaamc,(443) 481-1000,"2001 Medical Pkwy, Annapolis, MD 21401",2.9
UM Charles Regional Medical Center,https://www.umms.org/charles/locations/um-charles-regional-medical-center,(301) 609-4000,"5 Garrett Ave, La Plata, MD 20646",2.1
UM Shore Medical Pavilion at Queenstown,https://www.umms.org/shore/locations/medical-pavilion-queenstown,(410) 822-1000,"125 Shoreway Dr, Queenstown, MD 21658",4.3
University of Maryland shore EASTON MEDICAL CENTER,N/A,N/A,"Easton, MD 21601",3
Luminis Health Easton Pavilion,https://www.luminishealth.org/locations/eastern-shore,(410) 822-2440,"28438 Marlboro Ave, Easton, MD 21601",3.3
Memorial Hospital,N/A,N/A,"Easton, MD 21601",2.2
Dr.Sameer's Internal Medicine Clinic (Specialist Physician),N/A,+974 6660 7890,"Opposite Musheireb Metro Station Beside Hotel Four Points by Sheraton Al Ghadeer, Street No. 850, Doha, Qatar",4.5
DR.MARIA RANA CLINIC,N/A,+974 7727 3371,"bldg.no.14,STREET 109, AREA 07, Doha, Qatar",5
BOTC Main Clinic,N/A,+974 4450 5606,"5FVC+C6Q, Doha, Qatar",5
Clinic,N/A,+974 6660 7890,"Mushaireb area ( Al Ghadeer Street No.850 Behind Hotel Amari, Beside Panasonic & Kahramaa, Old Qtel Signal, Doha, Qatar",3
Doha Falcon Clinic,N/A,+974 5583 8259,"6CGP+RV2, Doha, Qatar",5
Karma Clinic,https://www.karmaclinicqa.com/,+974 4000 0797,"The Pearl, Lagoona Mall, 1st Floor, Doha, Qatar",4.3
Al Anab Clinic,N/A,N/A,"5FRC+Q3G, Unnamed Road, Doha, Qatar",5
President Clinic,N/A,+974 6000 2390,"7F9R+HRX, Building 47, Street, 102 Al Mashaf St, Doha, Qatar",4.7
Padra Clinic Qatar,https://padra.com/qatar/,+974 4141 5151,"Building 230, The 18th Tower, 10th Floor, Street 303, Lusail, Qatar",4.9
Lusail Medical Center,http://www.tabeebak.qa/clinics-list/0/lusail/0,+974 7055 0099,"8GWC+532, Lusail Expy, Doha, Qatar",2.1
DR.JEGAN CHACKO CLINIC,N/A,+974 4037 0750,"1st floor, Al Khalidiya St, Doha, Qatar",4.8
Al Zaeem poly clinic,N/A,+974 4460 4308,"23 Al Attiya Rd, Doha, Qatar",4.3
Dr. Ola Al Rawashda Clinic - عيادة الدكتورة علا الرواشدة,https://www.facebook.com/Dr-Ola-Al-Rawashda-Clinic-103554512196595/,+974 6655 2296,"Rawdat Al Khail St, Doha, Qatar",4.9
Advance Medical Clinic,N/A,+974 4444 8806,"Advance Medical Clinic Behind Duhail Gas Station Doha, Doha, Qatar",3.5
Phi Medical Clinics,http://www.phiqatar.com/,+974 4483 9275,"Street 436 Al Ebb, Doha, Qatar",4.5
Dr Salim Clinic,N/A,+974 4432 2020,"Aseer St, Doha, Qatar",4
